analysis_type,group_info,column_name,metric,value
Grouped_source + id,,retweetCount,group_means_count,27304
Grouped_source + id,,retweetCount,group_means_mean,1322.0551933782597
Grouped_source + id,,retweetCount,group_means_min,0.0
Grouped_source + id,,retweetCount,group_means_max,144615.0
Grouped_source + id,,replyCount,group_means_count,27304
Grouped_source + id,,replyCount,group_means_mean,1063.7850131848813
Grouped_source + id,,replyCount,group_means_min,0.0
Grouped_source + id,,replyCount,group_means_max,121270.0
Grouped_source + id,,likeCount,group_means_count,27304
Grouped_source + id,,likeCount,group_means_mean,6913.69282888954
Grouped_source + id,,likeCount,group_means_min,0.0
Grouped_source + id,,likeCount,group_means_max,915221.0
Grouped_source + id,,quoteCount,group_means_count,27304
Grouped_source + id,,quoteCount,group_means_mean,128.08156314093173
Grouped_source + id,,quoteCount,group_means_min,0.0
Grouped_source + id,,quoteCount,group_means_max,123320.0
Grouped_source + id,,viewCount,group_means_count,27304
Grouped_source + id,,viewCount,group_means_mean,507084.7318341635
Grouped_source + id,,viewCount,group_means_min,5.0
Grouped_source + id,,viewCount,group_means_max,333502775.0
Grouped_source + id,,bookmarkCount,group_means_count,27304
Grouped_source + id,,bookmarkCount,group_means_mean,136.21352182830356
Grouped_source + id,,bookmarkCount,group_means_min,0.0
Grouped_source + id,,bookmarkCount,group_means_max,42693.0
