page_id,total_ads,estimated_audience_size_mean,estimated_audience_size_median,estimated_audience_size_sum,estimated_impressions_mean,estimated_impressions_median,estimated_impressions_sum,estimated_spend_mean,estimated_spend_median,estimated_spend_sum,advocacy_msg_type_illuminating_<lambda>,issue_msg_type_illuminating_<lambda>,covid_topic_illuminating_mean,economy_topic_illuminating_mean,education_topic_illuminating_mean
03c1884d16126adff10c7a3937b37413d29f4160f8e22feca9cc94f0721ac22d,1,1000001.0,1000001.0,1000001,2499.0,2499.0,2499,49.0,49.0,49,0,0,0.0,0.0,0.0
03c572f90cd7966e058fe4eb5dc5159a8e5c3a910148e819796515eda7e5821b,1,0.0,0.0,0,499.0,499.0,499,49.0,49.0,49,1,1,0.0,0.0,0.0
03cbf000a6f318065729374bbfa37141d7b7523e02f87afdcdecb3db663e2338,3,1000001.0,1000001.0,3000003,4832.33,1499.0,14497,49.0,49.0,147,0,0,0.67,0.0,0.0
03f2dff8080dbdc53537e262d9bb0ce5015470234dc1f28c6ba30e2a92cc272f,2,30000.0,30000.0,60000,1499.0,1499.0,2998,49.0,49.0,98,1,1,0.0,0.0,0.0
03f8aff13987e5121b65139862e434824b8811b0b2b0d5a9584d2450c0a1a8a4,1,1000001.0,1000001.0,1000001,3499.0,3499.0,3499,49.0,49.0,49,1,1,0.0,1.0,0.0
03fc560b14533bf2bc882c7a965646c9efe8ee33a6fbb018df9d479bed824d02,50,1000001.0,1000001.0,50000050,200579.02,47499.0,10028951,2153.0,299.0,107650,1,0,0.0,0.0,0.0
0409ef72aad4d2f09b8847b0464b12e5273e4974be798a5394a69ad7e38422ff,1,7500.0,7500.0,7500,12499.0,12499.0,12499,249.0,249.0,249,1,0,0.0,0.0,0.0
0422d61070e4ba0f6b223445ea22537f6f825784a6b386b26b3d6ae1744a3d25,12,59762.5,7500.0,717150,1749.0,1499.0,20988,57.33,49.0,688,1,0,0.0,0.0,0.0
042eea8d81867980cdfae20502dc06f69bd33a0ac4786d3aa79617084ea10fad,2,300000.0,300000.0,600000,74999.0,74999.0,149998,549.0,549.0,1098,1,1,0.0,0.5,0.0
043671ff40dd293d7fda51e3118a5f7e1ec6ee05b4dd70a99b3e87eecfbfcf1a,6,0.0,0.0,0,499.0,499.0,2994,49.0,49.0,294,0,0,0.0,0.0,0.0
043f480c9e6e21b918a918d34c618281880bb6c0bf980b7cdbec9ddec30e182c,1,0.0,0.0,0,499.0,499.0,499,49.0,49.0,49,1,0,0.0,0.0,0.0
04427b2c166d865c7b74a49754f7c1ad3ac55efa599c27d4fd022f2f80f99a2e,277,758506.1,1000001.0,210106190,12378.06,499.0,3428724,441.6,49.0,122323,1,1,0.0,0.0,0.0
0460d29cd0bc19e53d8144a6afe394ab4c8f6257d778a7d9e332da6d6b386779,1,75000.0,75000.0,75000,54999.0,54999.0,54999,849.0,849.0,849,1,1,0.0,1.0,0.0
047380690d7f40ea8086a499225aff8142d1708b3d67117c7af9ded501417081,1,30000.0,30000.0,30000,112499.0,112499.0,112499,1249.0,1249.0,1249,1,1,0.0,0.0,1.0
0476f45012eced7937b9a24dc239eec27addf352b783adf2ecb961000d04c1f5,1,300000.0,300000.0,300000,12499.0,12499.0,12499,149.0,149.0,149,0,0,1.0,0.0,0.0
048f6e4a39fa1b3094c28b913636c2a77b704f2376036b605d84301b0d9a7a9e,1,1000001.0,1000001.0,1000001,6499.0,6499.0,6499,49.0,49.0,49,1,1,0.0,0.0,0.0
