source,id,retweetCount,replyCount,likeCount,quoteCount,viewCount,advocacy_msg_type_illuminating,issue_msg_type_illuminating,attack_msg_type_illuminating,covid_topic_illuminating,economy_topic_illuminating,education_topic_illuminating,environment_topic_illuminating,incivility_illuminating,fraud_illuminating
Hootsuite Inc.,e150d85c6ef123d7826e7141194e91e94aca3084051b44db0d5b9281c307d278,88,32,158,8,17440,,,,,,,,,0
Hootsuite Inc.,e81f58a7a1a89e74c29b6062688921462d7864af3e5c87f4bab5fbd6e54bbc41,151,85,484,12,25649,,,,,,,,,0
Hootsuite Inc.,eb4d2b6a5090e3c9fea68a23013e1b10d8cfb76814d39dbba8845b0095c8d0df,60,19,185,5,34472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,edfcf709a2eb43c70c261b47594f31691b6980591d22dd6c64c9df1a8911b920,94,28,264,4,23009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,eea34275088ed8f35f8e64786ee7a0be77a1e5dfe92f15485b9a6db13ef09bfd,103,26,265,1,21161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Hootsuite Inc.,f5776002551a915a41215c966eca66669fc4b68a0d5ef65c68abbf9446b278ca,148,45,305,7,26195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Later Media,2d9cfc7b380157ca2d41ac35c61fe9d530b4ea58662064c71726c2e733eefccb,93,18,280,10,12847,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Loomly,05090167acb182a0c2a999ea5daf6d3801785d418bb299acb4efb977c134d0dd,0,0,0,0,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Loomly,185f7ab74d676a06b737effe397e06e9a34d44cdb3399d88c07d1f9f92fc7690,0,1,1,0,406,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Loomly,46715fa46f5973173a4453d8d6dac33a9db4532273af8f89e2c8058b72af7844,0,0,1,0,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Loomly,4aa612de6b8ba6ad032adc7a5131490c297d07b3bd17bd9e161c287b148f5705,0,4,16,0,17019,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Loomly,5fb1769b92fe0a2a47fba670909af4749f5bfb1edbbe067b7293f64493786383,1,8,12,1,17534,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Loomly,7491a303091660e5ec2b18ac6e041ed468fac3e0e7c7ff1bef2a78d79c2752e0,6,11,112,0,12580,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Loomly,8c4338791013ae5b93656f0a276e70fcfc441cf510ff86784aaa3a62d9b51a90,0,5,0,0,208,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
Loomly,f020afcedfbbad2c5f3513c77c22037e6b56bfaf2d00ed893bde77da10daf9f8,17,14,158,0,36505,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Loomly,fcc78e04b62606e658c998fdfca2ee143fd1ffebae40ed0c9e8aa548833e767a,230,188,1301,13,85529,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
Loomly,fe802036ede5cc8f5aecc9bf4612ca9a4763f7d71c53ad55b05592e067a1611e,0,0,2,0,190,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,016a3ec6df503d6f18696e47d5c69178e748b25da6d5230b42db335a21ecc5a8,32,110,253,7,22928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,05db756b12615c4c3a4ec7d9d91bdb8b1a672f0cc424a83ab49151e59137a693,417,154,1794,22,169716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,0bb4aa0e2bbc3fbab0943c02c4d991ad72dddd90f6e6fa6571878e302a98f1f1,195,420,861,18,114486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,0ddbfdbc972e5397fd82faa614de90279bcc9bac7796b3bca147ea418dada2d5,154,17,377,8,11084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,0e729125f2cd8d22d2a03f38b836e5bc907e51beeda571ec95250766128390ea,315,81,684,9,17415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,0ecb13fe41259a82a6b0b4effeebe647e055667a594b7e7902cecbb3dcc77406,461,613,2262,64,395402,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,10a53f8bbdbfa2511c734f0a5908edc24c9989e821041e9704b244db0d883a9e,228,224,846,19,78916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,12988b5dae0fdb7a9744bef430f7bf655264c85553cf04b3f3f902b0788866de,4556,2077,23785,434,3481055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,1458418a8ff2f26e541e66185da00a636dc5ba9da77dd4b60c6fe3d3b2459042,58,116,344,9,45568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,18d76442cc116ac8dfea3c45178fd17302457119d84f56be04687e8e73f6e581,226,380,1010,22,83934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,19f4456720c329816b10cf9c7cb0f0b6abc9036dac577313195a746c1e1302c1,253,259,1052,18,99989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,1b93c38c8ec75f87a0d7a85cf8b4c05516bb6779c137cc38429656d62756863e,368,1057,1838,94,305943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,1f753884718628c35366735d5372a9f32668ce69d700d878eb67d28a70fa6985,39,185,365,8,29816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,20113ba647bb36876b9b61c0ac62e17a9162cc9e3f1e304683fb9f7a6c6c3072,247,237,980,23,153205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,20b1f53bbf8563d96c135792609e67cfed1f695ed000cea7fce0139a3a13b918,122,16,231,6,9783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,24e404ba45f1fe9df264985601b50c895c602dbecc6fa3df76b757b466ca0792,508,283,1743,58,247226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,24f2dd910bb127910ca83cd4e36d973002a72671f4428dbc4315e7c3f515956c,50,173,301,9,28779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,26013f610a407768794401cac984ce457870e13a883b020c621c92df7b85123f,117,43,247,9,86342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,29781b47c2bb0ab995438363ff700828a3df5b38505bc5962ca52adb690393fc,59,7,151,3,12556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,2a17e366bcf8c5ad25deef0925f95e90651f8a87f188a5d361fac1e607dd8364,154,48,477,15,31330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,2d868baed0a939f1a46c0f07b18e9c6e629bbda8fa370d4f2651c8ab048a363e,345,43,903,17,24419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,2fdc3fba29fc701740fb57918ad3a2561bed2016a9bc281b51844736954baa2e,44,3,133,4,14123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,34cf0b89ae4056e782d6b5a91a463e0a0ad9041ea1b8d38fdb16a7bf597cb7f3,179,102,1038,10,106524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,34fdea59ef20a0fab497be1a29eb8e0c672ac53567271c1db3069824034b48e1,280,432,1231,31,124260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,3abd69afa82c530496c39b29897cf1dd2db38ed127e8ff9f0616eedf6250433a,42,190,278,10,33784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,3b73ff1b8ebc1a565ad4243d5fe01d68785fe0ab5fcf6d390653c7552b0b0777,231,246,1036,18,238595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,3ea06e36c99eb0aa7af00534f63e0e644bd1b87acc7dcabd6a91ed9d4a2cee46,52,76,215,5,48117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,3f34db89b05675f94bb3076084dcb8f65f800051d6e428356807bd76ffac6267,184,221,783,12,89731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,43011f576790fad452594c82f5e583473e7e32705936c8b5212bfd53bcb823da,33,30,154,3,56449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,43af65ee6ef8c204ef69bdcb32bb8c787c2e47c5ba5c8d39f8b8e0d39aef05b1,313,36,689,36,63114,,,,,,,,,0
Periscope,43c0c0f884ccad698321ffb1250928a8d83a4470f6bcd5c7f8c1daa05106cf2a,3869,5546,14277,595,2358523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,43cfbe66e52b664ecea8a20079e45cdac6444ea35cdd7972044df47a6e92c408,57,10,158,7,33441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,46791d6f5322e3f0a34dea7ff87e8eee8ad792a3c9ab64b18b200eb540d34be1,42,202,251,11,37722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,47b3da549ec50fe71e9ee0a9fb92ba14a6ff053a6b6e64762c8cbf8a7925e805,780,82,1856,68,64268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,5119642e2adf26625570b3108ba13da48ab4897b94c7ab98bcd83d5b2e8bc5bb,242,575,1376,23,127418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,58368a6e38c53f75a79c3e93feed94d5b36e1ccd25216266f977e5730888f1aa,249,250,971,16,113375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,61d2bdc1d525bac6fd5abde0c9ec23096c3440f200806505679f54b5597a5585,55,178,357,17,39687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,628e6713eae20281e0f0b7e912a1115485f803a4cdb95d6f4edc8953934c6ef1,30,120,202,4,23791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,629d93adb2ca9f8a38a10786a6cc0acba6e29758a4773ba4e42955f1d4460c57,90,31,519,2,66878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Periscope,63b70e4cfa215523decc2bcbfa22d8a84bc1cc6c2b736c20a0c44531628fbe2d,49,153,276,7,30271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
